도서관명,위도,경도
꿈터작은도서관,37.530426,126.841567
초록향기작은도서관,37.5440075,126.8476496
큰마음작은도서관,37.558839,126.8478991
등마루골작은도서관,37.542619,126.8624815
생각열매작은도서관,37.5558118,126.8588981
아리향기작은도서관,37.5537567,126.8709248
길꽃어린이도서관,37.5786841,126.813683
우장산숲속도서관,37.5482267,126.8418055
꿈꾸는어린이도서관,37.5473042,126.8733012
솔뫼작은도서관,37.537954,126.8385914
가람작은도서관,37.5635612,126.8547253
초록동작은도서관,37.5411082,126.8484979
꿈자람책놀이터작은도서관,37.5703368,126.8054585
해뜰작은도서관,37.574644,126.8189919
옹기종기작은도서관,37.55338,126.8670949
수명산작은도서관,37.5540837,126.8252284
방그리나작은도서관,37.578697,126.8135408
채움작은도서관,37.5666984,126.8067362
글벗누리작은도서관,37.5703967,126.8168004
송정작은도서관,37.5588105,126.8101528
책향기작은도서관,37.5530894,126.8331507
도리샘작은도서관,37.5610254,126.8605161
허준마을작은도서관,37.5673658,126.8512874
도란도란쉼터작은도서관,37.5694487,126.8447047
내발산작은도서관,37.5575057,126.8432052
배다리작은도서관,37.5326755,126.8483165
역마을작은도서관,37.5517566,126.8500658
볏고을작은도서관,37.534564,126.860704
책마루작은도서관,37.5425075,126.8384005
옹달샘작은도서관,37.5317869,126.8544548
