시설구분,시설명,소재지,전화번호,위탁(운영)법인,이용/수용인원
경로당,풍납제1,서울특별시 송파구 풍성로 67 ,02-483-0556,구립,24
경로당,풍성,풍성로25길 21-9,02-488-4150,구립,30
경로당,토성,토성로19길 37 ,02-484-3568,구립,30
경로당,거여,오금로 476-12,02-448-3146,구립,58
경로당,영풍,오금로51길 20,02-449-7222,구립,65
경로당,거여새마을,오금로62길 13-3 ,02-448-5929,구립,53
경로당,신마천,성내천로43마길 11-1 ,02-400-1162,구립,22
경로당,마천제일,마천로65길 12 ,02-400-9395,구립,25
경로당,장수,성내천로 318 ,02-408-2126,구립,25
경로당,웃마을,마천로61마길 12-20 ,02-430-8611,구립,30
경로당,산성,성내천로55길 16 ,02-401-4803,구립,31
경로당,송파보훈,성내천길 306,02-419-6205,구립,33
경로당,마천,성내천로38길 4,02-431-4917,구립,52
경로당,하마천,성내천로23길 12 ,02-402-6239,구립,60
경로당,남천,성내천로33가길 16,02-408-4164,구립,85
경로당,용마,거마로22길 11-8,02-3402-2933,구립,20
경로당,왕천,양재대로71길 20-10 ,02-421-3714,구립,79
경로당,방이,가락로39길 11 ,02-422-4646,구립,62
경로당,몽촌,백제고분로 489 ,02-412-2662,구립,35
경로당,오금,성내천로10길 4,02-406-1764,구립,72
경로당,벌말,동남로28길 23 ,02-430-3090,구립,44
경로당,목련,동남로24길 25 ,02-406-5688,구립,38
경로당,백토,양재대로72길 47-8,02-406-0170,구립,35
경로당,누에머리,동남로30길 29,02-400-7127,구립,34
경로당,호수,송파대로48길 28 ,02-416-2371,구립,25
경로당,송파제1,송파대로42길 29 ,02-412-5401,구립,28
경로당,송파제2,송파대로38길 1,02-413-3235,구립,71
경로당,돌마리,가락로7길 4,02-412-0474,구립,30
경로당,오봉산,석촌호수로20길 13 ,02-413-7283,구립,39
경로당,석촌,백제고분로40길 13-16 ,02-421-3083,구립,43
경로당,삼전제1,백제고분로32길 6-30 ,02-424-6849,구립,50
경로당,삼전제2,백제고분로27길 40-24 ,02-422-8225,구립,27
경로당,가락본,양재대로62길 32-13 ,02-409-6710,구립,45
경로당,훙이,송이로17길 48 ,02-404-6802,구립,49
경로당,건너말,중대로10길 29 ,02-431-0942,구립,55
경로당,개롱,동남로14길 17-46 ,02-409-6929,구립,50
경로당,가락골,송이로23길 16-28 ,02-443-0571,구립,23
경로당,샛팽이,오금로42길 15 ,02-408-1515,구립,21
경로당,연화,송파대로14길 7,02-407-3181,구립,50
경로당,문정,동남로6나길 3-6,02-400-7708,구립,40
경로당,장지,새말로10길 3-16 ,02-408-3688,구립,52
경로당,잔버들,새말로15길 17-5,02-431-9795,구립,54
경로당,신천,석촌호수로12길 1-17 ,02-423-4338,구립,45
경로당,잠전,백제고분로15길 7 ,02-417-8136,구립,24
경로당,신잠실,백제고분로18길 20-36 ,02-415-8187,구립,32
노인복지센터,송파실벗뜨락,서울특별시 송파구 백제고분로 42길 5 (송파동),02-413-9999,송파구 시설관리공단,750
